State,County,Total Population,Young Children (0–4 years),Children (5–14 years),Adolescents (15–19 years),Young Adults (20–24 years),Emerging Workforce (25–34 years),Prime Working Age (35–54 years),Pre-Retirement (55–64 years),Seniors (65+ years),Diversity Index,Hispanic or Latino Population,Non-Hispanic or Latino Population,Hispanic or Latino Percentage,Non-Hispanic or Latino Percentage,State_Abbr
Alabama,Lawrence County,33182.0,1802.0,4118.0,1977.0,1905.0,3957.0,8232.0,4963.0,6228.0,0.4036252995567511,953.0,32229.0,2.872039057320234,97.12796094267976,AL
Alabama,Lee County,177663.0,9726.0,21249.0,15666.0,21147.0,24315.0,42754.0,19836.0,22970.0,0.4877858859662879,9335.0,168328.0,5.254329826694359,94.74567017330564,AL
Alabama,Limestone County,107577.0,5887.0,13627.0,6552.0,5917.0,14098.0,30066.0,14886.0,16544.0,0.41150109918986655,7785.0,99792.0,7.2366769848573576,92.76332301514265,AL
Alabama,Lowndes County,10008.0,575.0,1274.0,649.0,511.0,1194.0,2263.0,1535.0,2007.0,0.3843014117882353,27.0,9981.0,0.2697841726618705,99.73021582733813,AL
Alabama,Macon County,18951.0,920.0,1516.0,2630.0,2224.0,1914.0,3309.0,2511.0,3927.0,0.3561441476477051,372.0,18579.0,1.9629570998891879,98.0370429001108,AL
Alabama,Madison County,397135.0,22629.0,48571.0,26586.0,26790.0,56207.0,99457.0,55499.0,61396.0,0.523690801900142,25948.0,371187.0,6.533798330542511,93.46620166945749,AL
Alabama,Marengo County,19027.0,1194.0,2347.0,1404.0,1150.0,1855.0,4575.0,2660.0,3842.0,0.5329801214760581,452.0,18575.0,2.375571556209597,97.6244284437904,AL
Alabama,Marion County,29190.0,1539.0,3365.0,1874.0,1659.0,3337.0,7094.0,4165.0,6157.0,0.1620885432308975,879.0,28311.0,3.011305241521069,96.98869475847893,AL
Alabama,Marshall County,98712.0,7177.0,13900.0,6926.0,5616.0,11911.0,23719.0,12707.0,16756.0,0.3166664084990988,16360.0,82352.0,16.573466245238674,83.42653375476132,AL
Alabama,Mobile County,413162.0,26371.0,53756.0,26467.0,26320.0,56921.0,99453.0,53766.0,70108.0,0.5527635132880785,13778.0,399384.0,3.3347694124822707,96.66523058751773,AL
Alabama,Monroe County,19580.0,678.0,2668.0,1441.0,1287.0,1728.0,4742.0,2893.0,4143.0,0.5330278128752839,29.0,19551.0,0.1481103166496425,99.85188968335035,AL
Alabama,Montgomery County,227197.0,15396.0,30311.0,15169.0,15723.0,31515.0,55106.0,28015.0,35962.0,0.5495196803841822,10796.0,216401.0,4.751823307526068,95.24817669247393,AL
Alabama,Morgan County,123742.0,7548.0,16163.0,7746.0,7192.0,14786.0,31200.0,16984.0,22123.0,0.40903589278739216,12626.0,111116.0,10.203487902248225,89.79651209775177,AL
Alabama,Perry County,8231.0,522.0,942.0,1066.0,490.0,514.0,1886.0,1080.0,1731.0,0.4175212811232272,18.0,8213.0,0.21868545741708176,99.78131454258292,AL
Alabama,Pickens County,18843.0,944.0,2063.0,1100.0,1124.0,2336.0,4832.0,2769.0,3675.0,0.5067293995139378,1088.0,17755.0,5.7740274903147055,94.22597250968529,AL
Alabama,Pike County,32953.0,1648.0,3567.0,3444.0,4942.0,4022.0,6646.0,3594.0,5090.0,0.544381528892403,889.0,32064.0,2.697781689072315,97.30221831092769,AL
Alabama,Randolph County,22310.0,1123.0,2744.0,1436.0,1317.0,2549.0,5191.0,3324.0,4626.0,0.39742029159628967,635.0,21675.0,2.8462572837292694,97.15374271627073,AL
Alabama,Russell County,58858.0,3945.0,8165.0,3365.0,3364.0,8508.0,14784.0,7779.0,8948.0,0.572595448295611,3382.0,55476.0,5.746032824764688,94.25396717523532,AL
Alabama,St. Clair County,92903.0,5099.0,11897.0,5798.0,4753.0,11861.0,24628.0,12582.0,16285.0,0.27745574864561506,2670.0,90233.0,2.873965318665705,97.12603468133429,AL
Alabama,Shelby County,226955.0,12151.0,30078.0,15580.0,13338.0,27489.0,62236.0,28894.0,37189.0,0.3929817229678869,16709.0,210246.0,7.362252428895596,92.6377475711044,AL
Alabama,Sumter County,12020.0,661.0,1318.0,1554.0,1366.0,1126.0,2168.0,1515.0,2312.0,0.42573558766448594,100.0,11920.0,0.831946755407654,99.16805324459234,AL
Alabama,Talladega County,81170.0,4346.0,9415.0,4897.0,4618.0,10634.0,20432.0,11471.0,15357.0,0.5043575192785796,1879.0,79291.0,2.3148946655168166,97.68510533448318,AL
Alabama,Tallapoosa County,41070.0,2140.0,4825.0,2303.0,2045.0,4791.0,9366.0,6258.0,9342.0,0.46890805954119086,1137.0,39933.0,2.768444119795471,97.23155588020452,AL
Alabama,Tuscaloosa County,234036.0,12970.0,27431.0,23290.0,27068.0,32270.0,53662.0,25176.0,32169.0,0.5254036791929613,12593.0,221443.0,5.380796116836726,94.61920388316328,AL
Alabama,Walker County,64886.0,3705.0,8355.0,3965.0,3974.0,7740.0,15339.0,9112.0,12696.0,0.22285657282015958,2253.0,62633.0,3.4722436272847763,96.52775637271522,AL
Alabama,Washington County,15270.0,842.0,1672.0,839.0,1179.0,1421.0,3713.0,2482.0,3122.0,0.49518871189576485,255.0,15015.0,1.6699410609037328,98.33005893909626,AL
Alabama,Wilcox County,10347.0,634.0,1282.0,906.0,594.0,1075.0,2281.0,1361.0,2214.0,0.4235406199503684,11.0,10336.0,0.10631100802164879,99.89368899197835,AL
Alabama,Winston County,23637.0,1220.0,2693.0,1361.0,1305.0,2599.0,5640.0,3649.0,5170.0,0.13772771790470661,826.0,22811.0,3.494521301349579,96.50547869865042,AL
Alaska,Aleutians East Borough,3423.0,106.0,215.0,141.0,354.0,516.0,1158.0,540.0,393.0,0.7727244912041372,360.0,3063.0,10.5170902716915,89.4829097283085,AK
Alaska,Aleutians West Census Area,5178.0,119.0,380.0,382.0,376.0,964.0,1897.0,730.0,330.0,0.7424588474189089,715.0,4463.0,13.808420239474701,86.1915797605253,AK
Alaska,Anchorage Municipality,289069.0,18776.0,38742.0,17885.0,21171.0,48210.0,74675.0,33674.0,35936.0,0.6231379617946129,26953.0,262116.0,9.324071415475197,90.6759285845248,AK
Alaska,Bethel Census Area,18487.0,1957.0,3506.0,1538.0,1305.0,3044.0,3630.0,2025.0,1482.0,0.2803398102887392,257.0,18230.0,1.390166062638611,98.60983393736139,AK
Alaska,Bristol Bay Borough,878.0,64.0,64.0,22.0,32.0,213.0,186.0,176.0,121.0,0.6786987406665594,73.0,805.0,8.314350797266515,91.68564920273349,AK
